State,Year,Group_Name,Sub_Group_Name,Property Recovered,Property Stolen,Value of Property Recovered,Value of Property Stolen
Nevada,2002,Burglary - Property,Burglary,13,42,"2,41,530.00","5,41,081.20"
Montana,2002,Burglary - Property,Burglary,3229,6444,"7,35,56,356.80","19,38,47,187.60"
Maryland,2002,Burglary - Property,Burglary,67,212,"52,97,563.20","88,63,405.10"
Delaware,2002,Burglary - Property,Burglary,494,2128,"43,13,953.20","2,43,61,205.00"
Florida,2002,Burglary - Property,Burglary,378,2705,"29,89,024.80","2,21,94,229.20"
Colorado,2002,Burglary - Property,Burglary,85,286,"39,72,361.20","1,53,63,988.20"
South Dakota,2002,Burglary - Property,Burglary,920,3171,"83,98,596.00","3,39,13,485.10"
California,2002,Burglary - Property,Burglary,13,32,"13,74,685.20","27,78,226.00"
Hawaii,2002,Burglary - Property,Burglary,14,48,"29,14,920.00","49,93,470.90"
New York,2002,Burglary - Property,Burglary,860,2006,"92,35,057.20","14,41,38,184.30"
Idaho,2002,Burglary - Property,Burglary,75,305,"21,04,700.40","1,38,85,243.90"
Minnesota,2002,Burglary - Property,Burglary,1207,4380,"2,57,08,857.60","19,92,63,981.40"
Georgia,2002,Burglary - Property,Burglary,1387,2591,"3,39,52,561.20","7,29,49,415.00"
Kansas,2002,Burglary - Property,Burglary,123,546,"19,14,268.80","9,29,71,081.50"
Indiana,2002,Burglary - Property,Burglary,170,1123,"41,75,314.80","3,50,39,895.00"
South Carolina,2002,Burglary - Property,Burglary,224,1206,"14,49,913.20","1,13,18,164.00"
Michigan,2002,Burglary - Property,Burglary,2027,5508,"7,36,69,274.40","19,68,97,228.00"
Missouri,2002,Burglary - Property,Burglary,947,3780,"2,40,46,910.40","21,70,52,796.40"
Arizona,2002,Burglary - Property,Burglary,2,8,"32,154.00","1,27,209.50"
Alaska,2002,Burglary - Property,Burglary,4189,11342,"3,80,21,498.40","15,34,77,768.40"
Arkansas,2002,Burglary - Property,Burglary,3707,11282,"8,81,55,967.20","51,48,23,621.40"
Ohio,2002,Burglary - Property,Burglary,1,37,"11,430.00","45,50,298.50"
West Virginia,2002,Burglary - Property,Burglary,18,130,"2,82,756.00","31,71,702.60"
Utah,2002,Burglary - Property,Burglary,221,379,"27,09,188.40","1,43,08,142.20"
North Dakota,2002,Burglary - Property,Burglary,35,94,"4,96,044.00","45,33,519.10"
Louisiana,2002,Burglary - Property,Burglary,1109,2342,"1,36,13,474.40","4,89,17,303.60"
Pennsylvania,2002,Burglary - Property,Burglary,39,110,"13,63,041.60","35,29,036.50"
Oregon,2002,Burglary - Property,Burglary,785,1639,"2,19,37,524.00","8,49,63,499.50"
Vermont,2002,Burglary - Property,Burglary,1892,5355,"4,64,15,910.00","12,33,87,997.70"
Guam,2002,Burglary - Property,Burglary,9,38,"29,520.00","1,88,133.00"
Wisconsin,2002,Burglary - Property,Burglary,3012,4668,"5,47,85,965.20","12,65,94,790.30"
Oklahoma,2002,Burglary - Property,Burglary,40,163,"3,31,822.80","34,05,878.30"
District of Columbia,2002,Burglary - Property,Burglary,1049,4132,"4,32,94,450.80","13,34,44,003.00"
Texas,2002,Burglary - Property,Burglary,115,422,"42,11,767.20","1,62,07,067.80"
New Mexico,2002,Burglary - Property,Burglary,131,296,"20,41,582.80","1,64,03,520.10"
Nevada,2003,Burglary - Property,Burglary,16,48,"8,18,354.40","11,74,864.90"
Montana,2003,Burglary - Property,Burglary,3545,7624,"7,77,53,757.60","21,53,67,728.40"
Maryland,2003,Burglary - Property,Burglary,85,215,"1,47,31,898.40","1,99,25,596.90"
Delaware,2003,Burglary - Property,Burglary,519,2215,"48,44,032.80","2,18,25,455.30"
Florida,2003,Burglary - Property,Burglary,311,2538,"20,63,712.00","2,18,03,250.70"
Colorado,2003,Burglary - Property,Burglary,87,173,"16,03,390.80","79,46,133.80"
South Dakota,2003,Burglary - Property,Burglary,987,3078,"98,28,975.60","4,22,76,672.90"
California,2003,Burglary - Property,Burglary,12,35,"40,04,233.20","68,85,279.50"
Hawaii,2003,Burglary - Property,Burglary,5,35,"1,69,693.20","15,61,111.20"
New York,2003,Burglary - Property,Burglary,773,1613,"51,21,697.20","9,24,76,604.00"
Idaho,2003,Burglary - Property,Burglary,111,207,"26,04,872.40","1,15,02,979.40"
Minnesota,2003,Burglary - Property,Burglary,1361,4831,"3,27,63,768.00","20,55,72,704.70"
Georgia,2003,Burglary - Property,Burglary,1439,2522,"4,24,80,381.60","7,53,81,070.60"
Kansas,2003,Burglary - Property,Burglary,107,548,"18,67,437.60","1,45,60,709.90"
Indiana,2003,Burglary - Property,Burglary,228,1297,"62,44,003.20","4,42,33,119.70"
South Carolina,2003,Burglary - Property,Burglary,196,1168,"14,10,877.20","1,18,09,536.20"
Michigan,2003,Burglary - Property,Burglary,1561,5142,"4,32,34,678.80","16,26,41,023.60"
Missouri,2003,Burglary - Property,Burglary,1074,3539,"2,23,26,410.40","15,00,93,707.50"
Arizona,2003,Burglary - Property,Burglary,#VALUE!,5,#VALUE!,"71,500.00"
Alaska,2003,Burglary - Property,Burglary,3661,10745,"3,57,97,051.20","17,08,20,657.70"
Arkansas,2003,Burglary - Property,Burglary,3841,11222,"7,82,77,170.00","69,93,75,870.60"
Ohio,2003,Burglary - Property,Burglary,1,58,"2,160.00","33,53,972.60"
West Virginia,2003,Burglary - Property,Burglary,13,136,"1,87,716.00","8,27,96,331.20"
Utah,2003,Burglary - Property,Burglary,273,414,"36,95,254.80","54,13,097.80"
North Dakota,2003,Burglary - Property,Burglary,19,70,"7,24,084.80","23,89,488.20"
Louisiana,2003,Burglary - Property,Burglary,1256,2474,"1,67,95,681.20","5,36,03,556.60"
Pennsylvania,2003,Burglary - Property,Burglary,57,107,"20,15,700.00","74,18,810.30"
Oregon,2003,Burglary - Property,Burglary,813,1780,"2,35,44,637.20","9,56,16,203.10"
Vermont,2003,Burglary - Property,Burglary,1620,4912,"6,01,80,219.60","14,25,21,600.10"
Guam,2003,Burglary - Property,Burglary,7,41,"3,82,126.80","17,01,141.20"
Wisconsin,2003,Burglary - Property,Burglary,2935,4122,"6,69,79,898.40","12,21,19,399.60"
Oklahoma,2003,Burglary - Property,Burglary,19,142,"2,95,710.00","26,30,285.90"
District of Columbia,2003,Burglary - Property,Burglary,767,2489,"17,07,84,735.60","20,97,94,581.70"
Texas,2003,Burglary - Property,Burglary,124,436,"36,55,185.60","1,28,86,557.20"
New Mexico,2003,Burglary - Property,Burglary,103,291,"35,59,995.60","1,29,38,563.00"
Nevada,2004,Burglary - Property,Burglary,31,59,"21,35,854.80","35,29,846.10"
Montana,2004,Burglary - Property,Burglary,3520,6835,"7,40,76,128.40","23,80,19,885.40"
Maryland,2004,Burglary - Property,Burglary,42,183,"13,55,149.20","74,25,629.20"
Delaware,2004,Burglary - Property,Burglary,422,2162,"75,15,328.80","5,08,46,998.40"
Florida,2004,Burglary - Property,Burglary,283,2699,"28,56,080.40","2,73,31,114.80"
Colorado,2004,Burglary - Property,Burglary,77,158,"17,26,632.00","1,25,80,029.00"
South Dakota,2004,Burglary - Property,Burglary,1174,3162,"72,72,990.00","4,46,39,601.60"
California,2004,Burglary - Property,Burglary,5,17,"4,20,016.80","11,42,758.10"
Hawaii,2004,Burglary - Property,Burglary,8,30,"1,18,920.00","27,38,697.50"
New York,2004,Burglary - Property,Burglary,787,1594,"38,18,211.60","14,65,16,573.50"
Idaho,2004,Burglary - Property,Burglary,83,208,"26,52,976.80","1,57,17,204.80"
Minnesota,2004,Burglary - Property,Burglary,1334,4820,"4,13,18,506.80","23,25,21,797.20"
Georgia,2004,Burglary - Property,Burglary,1270,2362,"3,94,35,816.00","7,37,80,936.90"
Kansas,2004,Burglary - Property,Burglary,151,614,"58,23,170.40","2,29,07,740.90"
Indiana,2004,Burglary - Property,Burglary,240,1207,"1,02,23,364.00","3,82,63,918.00"
South Carolina,2004,Burglary - Property,Burglary,224,1206,"14,49,913.20","1,13,18,164.00"
Michigan,2004,Burglary - Property,Burglary,1729,5179,"6,09,94,298.40","19,16,78,366.00"
Missouri,2004,Burglary - Property,Burglary,1149,3705,"3,18,87,303.60","16,71,86,539.30"
Arizona,2004,Burglary - Property,Burglary,#VALUE!,2,#VALUE!,"2,376.00"
Alaska,2004,Burglary - Property,Burglary,4022,10311,"4,00,14,042.00","16,00,56,190.80"
Arkansas,2004,Burglary - Property,Burglary,4031,11812,"16,93,17,606.00","59,91,08,911.50"
Ohio,2004,Burglary - Property,Burglary,6,56,"10,21,412.40","30,36,831.60"
West Virginia,2004,Burglary - Property,Burglary,19,111,"2,94,184.80","21,90,497.10"
Utah,2004,Burglary - Property,Burglary,184,213,"6,90,000.00","8,34,042.00"
North Dakota,2004,Burglary - Property,Burglary,13,44,"1,68,294.00","13,70,751.80"
Louisiana,2004,Burglary - Property,Burglary,1150,2542,"1,58,72,637.60","5,80,87,949.70"
Pennsylvania,2004,Burglary - Property,Burglary,49,73,"17,03,412.00","31,10,811.00"
Oregon,2004,Burglary - Property,Burglary,679,1501,"2,00,19,202.80","10,07,86,482.50"
Vermont,2004,Burglary - Property,Burglary,1620,4776,"4,72,98,114.00","11,98,87,936.30"
Guam,2004,Burglary - Property,Burglary,12,54,"4,77,207.60","11,60,426.30"
Wisconsin,2004,Burglary - Property,Burglary,2733,3525,"9,21,02,535.60","13,73,23,763.50"
Oklahoma,2004,Burglary - Property,Burglary,37,141,"16,17,798.00","54,10,718.50"
District of Columbia,2004,Burglary - Property,Burglary,991,3563,"11,90,43,062.40","19,06,63,666.60"
Texas,2004,Burglary - Property,Burglary,102,439,"44,40,320.40","1,61,31,600.10"
New Mexico,2004,Burglary - Property,Burglary,132,465,"36,92,073.60","1,34,17,995.80"
Nevada,2005,Burglary - Property,Burglary,26,58,"8,46,502.80","37,60,230.10"
Montana,2005,Burglary - Property,Burglary,3650,6710,"11,15,16,265.20","26,41,40,641.60"
Maryland,2005,Burglary - Property,Burglary,57,224,"14,22,835.20","80,02,771.70"
Delaware,2005,Burglary - Property,Burglary,533,1917,"84,82,330.80","3,24,04,271.90"
Florida,2005,Burglary - Property,Burglary,317,2649,"43,01,420.40","3,83,56,124.40"
Colorado,2005,Burglary - Property,Burglary,107,190,"33,67,939.20","78,19,053.00"
South Dakota,2005,Burglary - Property,Burglary,1210,3078,"1,32,75,706.80","5,69,15,940.40"
California,2005,Burglary - Property,Burglary,9,21,"61,94,580.00","68,82,975.00"
Hawaii,2005,Burglary - Property,Burglary,5,31,"4,38,000.00","27,66,148.00"
New York,2005,Burglary - Property,Burglary,888,1779,"98,06,737.20","21,78,21,721.70"
Idaho,2005,Burglary - Property,Burglary,72,218,"22,91,241.60","1,51,83,390.20"
Minnesota,2005,Burglary - Property,Burglary,1212,4369,"8,11,40,130.00","27,98,10,634.40"
Georgia,2005,Burglary - Property,Burglary,1558,2911,"5,12,57,696.40","9,00,73,537.40"
Kansas,2005,Burglary - Property,Burglary,139,587,"49,50,021.60","2,51,54,633.90"
Indiana,2005,Burglary - Property,Burglary,213,1187,"59,04,981.60","3,96,85,308.30"
South Carolina,2005,Burglary - Property,Burglary,264,1360,"24,54,540.00","4,34,46,537.20"
Michigan,2005,Burglary - Property,Burglary,1722,5088,"7,10,10,019.20","28,74,54,020.70"
Missouri,2005,Burglary - Property,Burglary,958,3327,"2,27,29,916.40","20,64,68,528.20"
Arizona,2005,Burglary - Property,Burglary,1,2,"10,092.00","22,451.00"
Alaska,2005,Burglary - Property,Burglary,3679,9513,"5,27,41,886.40","17,00,64,778.40"
Arkansas,2005,Burglary - Property,Burglary,4139,12525,"11,89,79,359.20","68,18,80,439.90"
Ohio,2005,Burglary - Property,Burglary,3,53,"1,15,164.00","33,82,533.00"
West Virginia,2005,Burglary - Property,Burglary,19,116,"2,23,855.20","13,89,846.70"
Utah,2005,Burglary - Property,Burglary,295,376,"1,13,60,810.40","1,62,12,550.20"
North Dakota,2005,Burglary - Property,Burglary,17,79,"6,54,018.00","14,06,616.20"
Louisiana,2005,Burglary - Property,Burglary,1334,2575,"1,76,45,250.00","6,81,09,605.30"
Pennsylvania,2005,Burglary - Property,Burglary,43,57,"14,20,496.40","23,13,956.70"
Oregon,2005,Burglary - Property,Burglary,940,1643,"4,64,02,773.60","10,88,75,574.50"
Vermont,2005,Burglary - Property,Burglary,1690,4253,"5,56,86,805.20","12,86,78,738.10"
Guam,2005,Burglary - Property,Burglary,13,67,"1,80,828.00","16,69,846.20"
Wisconsin,2005,Burglary - Property,Burglary,2619,3177,"6,48,21,352.80","10,36,54,644.50"
Oklahoma,2005,Burglary - Property,Burglary,32,145,"15,55,038.00","51,97,865.20"
District of Columbia,2005,Burglary - Property,Burglary,870,2972,"10,48,19,774.40","18,31,00,226.10"
Texas,2005,Burglary - Property,Burglary,101,416,"16,18,392.00","1,33,23,278.10"
New Mexico,2005,Burglary - Property,Burglary,140,628,"40,55,917.20","2,19,11,539.10"
Nevada,2006,Burglary - Property,Burglary,26,70,"10,65,728.40","28,66,272.20"
Montana,2006,Burglary - Property,Burglary,3519,6944,"17,12,61,193.20","34,16,84,086.70"
Maryland,2006,Burglary - Property,Burglary,89,218,"30,70,304.40","1,39,34,751.60"
Delaware,2006,Burglary - Property,Burglary,568,2474,"1,17,81,654.00","3,93,62,304.30"
Florida,2006,Burglary - Property,Burglary,369,3001,"38,17,112.40","4,05,25,618.10"
Colorado,2006,Burglary - Property,Burglary,100,161,"35,08,764.00","74,91,694.10"
South Dakota,2006,Burglary - Property,Burglary,1091,2981,"1,04,60,998.80","8,18,25,228.10"
California,2006,Burglary - Property,Burglary,12,35,"11,65,464.00","41,28,219.70"
Hawaii,2006,Burglary - Property,Burglary,8,51,"16,86,228.00","70,04,052.00"
New York,2006,Burglary - Property,Burglary,911,1658,"1,79,93,971.20","12,58,41,179.20"
Idaho,2006,Burglary - Property,Burglary,49,196,"40,06,747.20","2,03,06,163.90"
Minnesota,2006,Burglary - Property,Burglary,1433,4559,"3,91,21,016.40","32,93,70,015.70"
Georgia,2006,Burglary - Property,Burglary,1795,3397,"5,03,40,574.80","11,86,10,517.30"
Kansas,2006,Burglary - Property,Burglary,139,622,"79,17,272.40","3,50,60,646.50"
Indiana,2006,Burglary - Property,Burglary,193,1148,"45,18,352.80","3,59,51,866.50"
South Carolina,2006,Burglary - Property,Burglary,239,1214,"25,55,912.40","2,33,96,571.00"
Michigan,2006,Burglary - Property,Burglary,1811,5072,"7,62,74,932.80","25,78,00,253.70"
Missouri,2006,Burglary - Property,Burglary,863,3356,"3,22,38,117.60","26,14,43,498.80"
Arizona,2006,Burglary - Property,Burglary,1,2,"12,000.00","31,020.00"
Alaska,2006,Burglary - Property,Burglary,3203,9120,"4,27,74,540.00","19,32,71,537.80"
Arkansas,2006,Burglary - Property,Burglary,4092,12515,"11,92,29,114.00","75,75,97,208.50"
Ohio,2006,Burglary - Property,Burglary,#VALUE!,47,#VALUE!,"41,80,723.80"
West Virginia,2006,Burglary - Property,Burglary,28,119,"3,48,444.00","41,48,259.50"
Utah,2006,Burglary - Property,Burglary,274,347,"39,29,430.00","1,72,28,425.50"
North Dakota,2006,Burglary - Property,Burglary,26,58,"11,49,709.20","4,64,43,272.70"
Louisiana,2006,Burglary - Property,Burglary,1454,2650,"2,13,58,216.80","9,25,91,958.80"
Pennsylvania,2006,Burglary - Property,Burglary,47,71,"13,25,946.00","27,24,803.40"
Oregon,2006,Burglary - Property,Burglary,974,1935,"3,10,15,927.20","12,67,99,724.70"
Vermont,2006,Burglary - Property,Burglary,1712,4147,"6,23,09,020.80","15,03,30,143.70"
Guam,2006,Burglary - Property,Burglary,13,71,"1,20,600.00","29,73,779.60"
Wisconsin,2006,Burglary - Property,Burglary,2337,2805,"9,51,69,361.20","13,75,36,749.90"
Oklahoma,2006,Burglary - Property,Burglary,117,155,"26,52,856.80","53,80,252.90"
District of Columbia,2006,Burglary - Property,Burglary,898,3013,"14,39,75,180.40","25,50,87,516.20"
Texas,2006,Burglary - Property,Burglary,116,349,"53,86,609.20","1,56,58,005.00"
New Mexico,2006,Burglary - Property,Burglary,141,511,"47,77,737.60","1,45,45,583.80"
Nevada,2007,Burglary - Property,Burglary,21,77,"8,58,139.20","34,90,372.60"
Montana,2007,Burglary - Property,Burglary,3904,6468,"10,31,99,934.00","29,25,19,812.20"
Maryland,2007,Burglary - Property,Burglary,92,204,"50,53,236.00","1,24,42,821.60"
Delaware,2007,Burglary - Property,Burglary,501,2213,"68,76,913.20","3,99,13,733.20"
Florida,2007,Burglary - Property,Burglary,300,2770,"46,92,210.00","6,22,71,117.70"
Colorado,2007,Burglary - Property,Burglary,64,162,"26,37,240.00","90,00,475.00"
South Dakota,2007,Burglary - Property,Burglary,1187,3087,"1,34,98,663.20","5,73,87,130.90"
California,2007,Burglary - Property,Burglary,6,24,"8,21,484.00","59,88,860.90"
Hawaii,2007,Burglary - Property,Burglary,4,39,"23,01,840.00","1,10,64,306.00"
New York,2007,Burglary - Property,Burglary,1001,1747,"1,00,49,338.80","15,71,42,053.20"
Idaho,2007,Burglary - Property,Burglary,50,230,"17,62,638.00","2,96,59,740.00"
Minnesota,2007,Burglary - Property,Burglary,1255,4035,"5,36,15,172.00","26,44,46,056.60"
Georgia,2007,Burglary - Property,Burglary,1797,3596,"5,76,01,281.60","16,55,29,362.90"
Kansas,2007,Burglary - Property,Burglary,147,706,"58,12,434.00","3,90,78,763.90"
Indiana,2007,Burglary - Property,Burglary,301,1239,"1,18,61,014.80","4,79,76,699.10"
South Carolina,2007,Burglary - Property,Burglary,198,1266,"26,55,063.60","2,55,09,303.60"
Michigan,2007,Burglary - Property,Burglary,2025,4632,"9,07,07,360.40","29,36,41,887.00"
Missouri,2007,Burglary - Property,Burglary,1056,3250,"2,39,70,952.80","35,96,79,399.20"
Arizona,2007,Burglary - Property,Burglary,#VALUE!,2,#VALUE!,"23,650.00"
Alaska,2007,Burglary - Property,Burglary,3514,9546,"4,50,47,152.80","21,98,53,951.90"
Arkansas,2007,Burglary - Property,Burglary,4202,12555,"27,80,06,176.80","1,13,76,71,223.70"
Ohio,2007,Burglary - Property,Burglary,1,60,"14,400.00","48,17,118.90"
West Virginia,2007,Burglary - Property,Burglary,123,173,"10,54,303.20","71,51,314.50"
Utah,2007,Burglary - Property,Burglary,285,360,"1,14,64,197.60","2,04,75,405.50"
North Dakota,2007,Burglary - Property,Burglary,12,100,"2,11,032.00","40,13,919.80"
Louisiana,2007,Burglary - Property,Burglary,1369,2612,"1,53,21,492.00","10,31,91,605.00"
Pennsylvania,2007,Burglary - Property,Burglary,37,73,"11,64,624.00","73,21,887.10"
Oregon,2007,Burglary - Property,Burglary,1053,2224,"3,76,06,105.20","18,37,97,751.50"
Vermont,2007,Burglary - Property,Burglary,1667,4208,"8,67,56,569.20","18,32,50,261.70"
Guam,2007,Burglary - Property,Burglary,17,71,"6,34,908.00","30,76,645.00"
Wisconsin,2007,Burglary - Property,Burglary,2665,3159,"9,59,76,399.60","14,52,95,096.10"
Oklahoma,2007,Burglary - Property,Burglary,39,164,"28,63,350.00","77,26,997.30"
District of Columbia,2007,Burglary - Property,Burglary,1016,3289,"4,74,99,487.20","13,19,88,315.80"
Texas,2007,Burglary - Property,Burglary,149,432,"69,27,812.40","2,62,83,162.40"
New Mexico,2007,Burglary - Property,Burglary,89,339,"21,45,786.00","2,69,79,233.60"
Nevada,2008,Burglary - Property,Burglary,36,66,"20,05,369.20","32,34,754.60"
Montana,2008,Burglary - Property,Burglary,3909,6986,"12,62,44,844.40","35,24,87,055.80"
Maryland,2008,Burglary - Property,Burglary,94,208,"35,11,242.00","78,71,769.40"
Delaware,2008,Burglary - Property,Burglary,679,2675,"2,15,58,898.80","7,28,03,645.20"
Florida,2008,Burglary - Property,Burglary,294,2902,"44,38,663.20","4,81,54,345.80"
Colorado,2008,Burglary - Property,Burglary,100,218,"28,57,071.60","1,34,62,892.30"
South Dakota,2008,Burglary - Property,Burglary,1252,3495,"2,12,44,824.00","8,83,28,477.60"
California,2008,Burglary - Property,Burglary,19,42,"21,53,742.00","68,66,484.90"
Hawaii,2008,Burglary - Property,Burglary,9,38,"16,08,960.00","2,48,62,832.50"
New York,2008,Burglary - Property,Burglary,495,1637,"69,56,396.40","12,09,34,915.20"
Idaho,2008,Burglary - Property,Burglary,86,247,"43,57,154.40","2,10,87,794.20"
Minnesota,2008,Burglary - Property,Burglary,1459,4192,"7,08,58,113.60","37,33,41,970.10"
Georgia,2008,Burglary - Property,Burglary,1611,3612,"5,04,40,718.40","13,79,43,446.30"
Kansas,2008,Burglary - Property,Burglary,154,741,"1,15,93,665.60","4,60,47,479.50"
Indiana,2008,Burglary - Property,Burglary,277,1132,"1,33,57,188.00","6,57,03,477.40"
South Carolina,2008,Burglary - Property,Burglary,192,1169,"21,54,817.20","2,36,30,879.80"
Michigan,2008,Burglary - Property,Burglary,1801,5319,"11,34,52,262.40","51,30,21,436.40"
Missouri,2008,Burglary - Property,Burglary,1058,3003,"3,06,15,208.80","25,21,67,353.90"
Arizona,2008,Burglary - Property,Burglary,1,3,"1,08,000.00","1,87,000.00"
Alaska,2008,Burglary - Property,Burglary,3672,9411,"5,02,06,903.20","23,26,34,912.40"
Arkansas,2008,Burglary - Property,Burglary,4471,12895,"18,95,78,373.60","1,13,53,68,065.70"
Ohio,2008,Burglary - Property,Burglary,1,65,"9,600.00","56,02,318.70"
West Virginia,2008,Burglary - Property,Burglary,59,141,"20,03,264.40","1,16,57,768.10"
Utah,2008,Burglary - Property,Burglary,247,286,"37,41,022.80","52,61,548.60"
North Dakota,2008,Burglary - Property,Burglary,15,102,"3,73,920.00","7,43,91,212.50"
Louisiana,2008,Burglary - Property,Burglary,1257,2604,"2,23,82,659.20","11,94,45,208.30"
Pennsylvania,2008,Burglary - Property,Burglary,51,77,"45,72,386.40","60,35,634.00"
Oregon,2008,Burglary - Property,Burglary,1193,2228,"7,96,10,318.40","19,36,13,406.80"
Vermont,2008,Burglary - Property,Burglary,1623,3847,"7,79,24,770.80","17,17,97,862.50"
Guam,2008,Burglary - Property,Burglary,17,69,"3,33,181.20","29,46,851.60"
Wisconsin,2008,Burglary - Property,Burglary,2509,3272,"9,75,78,866.40","16,32,15,053.10"
Oklahoma,2008,Burglary - Property,Burglary,72,185,"4,93,230.00","97,53,706.60"
District of Columbia,2008,Burglary - Property,Burglary,1206,3521,"35,31,10,177.20","44,25,13,358.10"
Texas,2008,Burglary - Property,Burglary,147,320,"41,27,426.40","1,93,65,110.60"
New Mexico,2008,Burglary - Property,Burglary,111,393,"1,09,08,776.40","2,89,61,098.10"
Nevada,2009,Burglary - Property,Burglary,30,73,"27,23,976.00","52,73,048.00"
Montana,2009,Burglary - Property,Burglary,3484,6547,"12,78,48,996.00","40,98,34,168.70"
Maryland,2009,Burglary - Property,Burglary,91,171,"18,76,32,414.00","17,56,99,145.60"
Delaware,2009,Burglary - Property,Burglary,454,2677,"1,55,81,908.80","6,21,84,139.60"
Florida,2009,Burglary - Property,Burglary,336,3031,"49,88,996.40","6,05,30,163.10"
Colorado,2009,Burglary - Property,Burglary,49,205,"21,43,680.00","1,69,95,374.00"
South Dakota,2009,Burglary - Property,Burglary,1304,3379,"2,81,23,771.20","11,84,72,631.20"
California,2009,Burglary - Property,Burglary,13,37,"15,24,450.00","53,38,564.00"
Hawaii,2009,Burglary - Property,Burglary,7,28,"38,91,000.00","87,69,752.20"
New York,2009,Burglary - Property,Burglary,531,1473,"3,70,22,498.40","27,76,37,691.10"
Idaho,2009,Burglary - Property,Burglary,72,241,"91,18,704.00","3,67,68,094.00"
Minnesota,2009,Burglary - Property,Burglary,1294,3727,"6,50,10,607.20","31,26,07,887.90"
Georgia,2009,Burglary - Property,Burglary,1499,3465,"5,48,36,616.00","17,33,75,066.70"
Kansas,2009,Burglary - Property,Burglary,139,662,"50,38,448.40","5,34,07,869.90"
Indiana,2009,Burglary - Property,Burglary,339,1318,"1,75,63,702.80","7,49,33,171.50"
South Carolina,2009,Burglary - Property,Burglary,215,1183,"32,35,948.80","2,73,89,007.80"
Michigan,2009,Burglary - Property,Burglary,1902,5635,"29,19,17,283.60","50,95,01,522.20"
Missouri,2009,Burglary - Property,Burglary,1210,2806,"29,57,23,903.20","47,29,02,780.90"
Arizona,2009,Burglary - Property,Burglary,#VALUE!,1,#VALUE!,"3,30,000.00"
Alaska,2009,Burglary - Property,Burglary,3185,9062,"5,16,93,152.40","26,78,89,827.70"
