State,Year,Group Name,Cases Registered under Human Rights Violations,Policemen Chargesheeted,Policemen Convicted
Alaska,2006,Disappearance of Persons,125,10,28
Ohio,2006,Disappearance of Persons,50,23,24
West Virginia,2006,Disappearance of Persons,148,15,9
Utah,2006,Disappearance of Persons,231,59,21
North Dakota,2006,Disappearance of Persons,81,66,25
Louisiana,2006,Disappearance of Persons,195,55,21
Wisconsin,2006,Disappearance of Persons,85,38,10
District of Columbia,2006,Disappearance of Persons,209,32,10
New Mexico,2006,Disappearance of Persons,9,44,32
Montana,2007,Disappearance of Persons,85,5,34
Maryland,2007,Disappearance of Persons,61,33,12
Delaware,2007,Disappearance of Persons,216,50,3
Florida,2007,Disappearance of Persons,193,57,22
South Dakota,2007,Disappearance of Persons,181,70,18
Minnesota,2007,Disappearance of Persons,189,0,40
Georgia,2007,Disappearance of Persons,112,46,1
Kansas,2007,Disappearance of Persons,156,45,29
Indiana,2007,Disappearance of Persons,86,11,34
Michigan,2007,Disappearance of Persons,237,25,1
Missouri,2007,Disappearance of Persons,194,33,25
Alaska,2007,Disappearance of Persons,199,21,21
Arkansas,2007,Disappearance of Persons,201,33,38
Ohio,2007,Disappearance of Persons,54,65,26
West Virginia,2007,Disappearance of Persons,9,10,11
Utah,2007,Disappearance of Persons,36,56,18
North Dakota,2007,Disappearance of Persons,33,45,5
Louisiana,2007,Disappearance of Persons,120,8,10
Wisconsin,2007,Disappearance of Persons,107,67,29
Oklahoma,2007,Disappearance of Persons,4,13,39
District of Columbia,2007,Disappearance of Persons,109,62,40
New Mexico,2007,Disappearance of Persons,191,48,18
Montana,2008,Disappearance of Persons,127,69,6
Maryland,2008,Disappearance of Persons,124,65,17
Delaware,2008,Disappearance of Persons,23,46,38
Florida,2008,Disappearance of Persons,88,49,33
Colorado,2008,Disappearance of Persons,198,19,10
South Dakota,2008,Disappearance of Persons,66,38,38
Minnesota,2008,Disappearance of Persons,83,22,11
Georgia,2008,Disappearance of Persons,249,37,28
Kansas,2008,Disappearance of Persons,212,30,13
Indiana,2008,Disappearance of Persons,118,39,0
Michigan,2008,Disappearance of Persons,99,30,8
Arkansas,2008,Disappearance of Persons,42,34,24
Ohio,2008,Disappearance of Persons,248,40,15
West Virginia,2008,Disappearance of Persons,238,22,16
Utah,2008,Disappearance of Persons,67,17,27
North Dakota,2008,Disappearance of Persons,157,1,31
Louisiana,2008,Disappearance of Persons,5,10,10
New Mexico,2008,Disappearance of Persons,107,67,19
Montana,2009,Disappearance of Persons,201,54,15
Maryland,2009,Disappearance of Persons,63,5,25
Delaware,2009,Disappearance of Persons,227,14,7
Florida,2009,Disappearance of Persons,149,9,22
Colorado,2009,Disappearance of Persons,238,40,35
South Dakota,2009,Disappearance of Persons,60,11,36
Minnesota,2009,Disappearance of Persons,72,63,11
Georgia,2009,Disappearance of Persons,198,14,12
Kansas,2009,Disappearance of Persons,242,2,16
Indiana,2009,Disappearance of Persons,175,26,29
Michigan,2009,Disappearance of Persons,221,21,37
Arkansas,2009,Disappearance of Persons,181,61,34
Ohio,2009,Disappearance of Persons,165,35,11
West Virginia,2009,Disappearance of Persons,134,47,2
North Dakota,2009,Disappearance of Persons,107,9,6
Louisiana,2009,Disappearance of Persons,130,63,20
Wisconsin,2009,Disappearance of Persons,112,51,38
New Mexico,2009,Disappearance of Persons,168,17,5
Montana,2010,Disappearance of Persons,240,39,30
Maryland,2010,Disappearance of Persons,35,31,14
Florida,2010,Disappearance of Persons,198,15,0
South Dakota,2010,Disappearance of Persons,92,40,39
Minnesota,2010,Disappearance of Persons,28,25,28
Georgia,2010,Disappearance of Persons,95,52,20
Kansas,2010,Disappearance of Persons,77,59,10
Indiana,2010,Disappearance of Persons,15,11,6
Michigan,2010,Disappearance of Persons,204,12,15
Arkansas,2010,Disappearance of Persons,113,66,34
Ohio,2010,Disappearance of Persons,191,60,21
West Virginia,2010,Disappearance of Persons,140,30,8
North Dakota,2010,Disappearance of Persons,199,60,27
Louisiana,2010,Disappearance of Persons,154,63,36
District of Columbia,2010,Disappearance of Persons,249,53,2
New Mexico,2010,Disappearance of Persons,34,50,25
Montana,2001,Illegal detention/arrests,188,45,31
Maryland,2001,Illegal detention/arrests,163,52,26
Delaware,2001,Illegal detention/arrests,29,6,32
Florida,2001,Illegal detention/arrests,236,44,5
Colorado,2001,Illegal detention/arrests,59,17,17
South Dakota,2001,Illegal detention/arrests,191,2,9
Minnesota,2001,Illegal detention/arrests,179,34,3
Georgia,2001,Illegal detention/arrests,4,48,20
Kansas,2001,Illegal detention/arrests,99,23,14
Indiana,2001,Illegal detention/arrests,236,66,32
South Carolina,2001,Illegal detention/arrests,178,28,37
Michigan,2001,Illegal detention/arrests,138,41,30
Arkansas,2001,Illegal detention/arrests,91,3,18
West Virginia,2001,Illegal detention/arrests,93,54,2
North Dakota,2001,Illegal detention/arrests,60,13,38
Louisiana,2001,Illegal detention/arrests,166,19,1
Vermont,2001,Illegal detention/arrests,94,9,28
District of Columbia,2001,Illegal detention/arrests,121,20,5
New Mexico,2001,Illegal detention/arrests,133,0,10
Montana,2002,Illegal detention/arrests,113,26,25
Delaware,2002,Illegal detention/arrests,168,25,21
Florida,2002,Illegal detention/arrests,248,33,40
Colorado,2002,Illegal detention/arrests,117,53,31
South Dakota,2002,Illegal detention/arrests,178,31,0
Hawaii,2002,Illegal detention/arrests,92,61,31
Minnesota,2002,Illegal detention/arrests,14,16,21
Georgia,2002,Illegal detention/arrests,235,33,25
Kansas,2002,Illegal detention/arrests,206,46,3
Indiana,2002,Illegal detention/arrests,88,57,29
Michigan,2002,Illegal detention/arrests,34,45,16
Alaska,2002,Illegal detention/arrests,225,37,11
Arkansas,2002,Illegal detention/arrests,53,19,30
West Virginia,2002,Illegal detention/arrests,204,5,2
North Dakota,2002,Illegal detention/arrests,60,12,36
Louisiana,2002,Illegal detention/arrests,215,40,4
Oregon,2002,Illegal detention/arrests,167,33,14
District of Columbia,2002,Illegal detention/arrests,175,15,35
New Mexico,2002,Illegal detention/arrests,230,21,5
Montana,2003,Illegal detention/arrests,239,6,0
Maryland,2003,Illegal detention/arrests,41,59,15
Delaware,2003,Illegal detention/arrests,121,58,28
Florida,2003,Illegal detention/arrests,203,47,29
Colorado,2003,Illegal detention/arrests,224,63,35
South Dakota,2003,Illegal detention/arrests,173,62,37
Hawaii,2003,Illegal detention/arrests,94,23,16
Minnesota,2003,Illegal detention/arrests,86,4,12
Georgia,2003,Illegal detention/arrests,76,53,1
Kansas,2003,Illegal detention/arrests,108,31,7
Indiana,2003,Illegal detention/arrests,64,68,31
Michigan,2003,Illegal detention/arrests,110,22,10
Arkansas,2003,Illegal detention/arrests,190,24,17
West Virginia,2003,Illegal detention/arrests,191,16,19
North Dakota,2003,Illegal detention/arrests,79,4,9
Louisiana,2003,Illegal detention/arrests,123,62,4
Oregon,2003,Illegal detention/arrests,59,70,33
District of Columbia,2003,Illegal detention/arrests,56,55,16
New Mexico,2003,Illegal detention/arrests,79,21,15
Montana,2004,Illegal detention/arrests,167,63,32
Maryland,2004,Illegal detention/arrests,113,31,6
Florida,2004,Illegal detention/arrests,207,69,34
South Dakota,2004,Illegal detention/arrests,169,69,31
Minnesota,2004,Illegal detention/arrests,247,27,3
Kansas,2004,Illegal detention/arrests,165,11,39
Michigan,2004,Illegal detention/arrests,72,60,21
Alaska,2004,Illegal detention/arrests,24,63,32
Arkansas,2004,Illegal detention/arrests,132,14,3
Ohio,2004,Illegal detention/arrests,47,43,40
West Virginia,2004,Illegal detention/arrests,210,11,5
Utah,2004,Illegal detention/arrests,204,52,32
North Dakota,2004,Illegal detention/arrests,52,46,20
Louisiana,2004,Illegal detention/arrests,44,41,9
Oregon,2004,Illegal detention/arrests,247,34,8
Wisconsin,2004,Illegal detention/arrests,126,20,13
New Mexico,2004,Illegal detention/arrests,140,49,28
Montana,2005,Illegal detention/arrests,12,39,32
Maryland,2005,Illegal detention/arrests,80,20,32
Delaware,2005,Illegal detention/arrests,76,61,23
Colorado,2005,Illegal detention/arrests,167,42,22
South Dakota,2005,Illegal detention/arrests,178,51,22
Minnesota,2005,Illegal detention/arrests,105,39,19
Georgia,2005,Illegal detention/arrests,89,7,19
Kansas,2005,Illegal detention/arrests,219,8,1
Indiana,2005,Illegal detention/arrests,42,32,30
South Carolina,2005,Illegal detention/arrests,139,16,28
Michigan,2005,Illegal detention/arrests,176,21,21
Alaska,2005,Illegal detention/arrests,18,21,0
Arkansas,2005,Illegal detention/arrests,46,40,8
Ohio,2005,Illegal detention/arrests,14,34,21
West Virginia,2005,Illegal detention/arrests,91,58,13
Utah,2005,Illegal detention/arrests,6,8,35
North Dakota,2005,Illegal detention/arrests,133,59,34
Louisiana,2005,Illegal detention/arrests,246,47,1
Oregon,2005,Illegal detention/arrests,204,24,0
District of Columbia,2005,Illegal detention/arrests,239,23,15
New Mexico,2005,Illegal detention/arrests,47,28,39
Montana,2006,Illegal detention/arrests,57,31,35
Maryland,2006,Illegal detention/arrests,113,2,23
Delaware,2006,Illegal detention/arrests,49,55,8
Colorado,2006,Illegal detention/arrests,44,4,35
South Dakota,2006,Illegal detention/arrests,190,59,24
Minnesota,2006,Illegal detention/arrests,215,55,22
Kansas,2006,Illegal detention/arrests,139,52,19
Indiana,2006,Illegal detention/arrests,114,57,21
South Carolina,2006,Illegal detention/arrests,8,56,12
Michigan,2006,Illegal detention/arrests,250,18,6
Alaska,2006,Illegal detention/arrests,34,2,40
Ohio,2006,Illegal detention/arrests,74,39,34
West Virginia,2006,Illegal detention/arrests,219,15,13
Utah,2006,Illegal detention/arrests,163,20,17
North Dakota,2006,Illegal detention/arrests,134,41,21
Louisiana,2006,Illegal detention/arrests,214,27,13
Wisconsin,2006,Illegal detention/arrests,7,63,14
District of Columbia,2006,Illegal detention/arrests,233,33,40
New Mexico,2006,Illegal detention/arrests,201,55,9
Montana,2007,Illegal detention/arrests,11,66,13
Maryland,2007,Illegal detention/arrests,250,20,8
Delaware,2007,Illegal detention/arrests,224,45,26
Florida,2007,Illegal detention/arrests,97,39,5
South Dakota,2007,Illegal detention/arrests,121,63,14
Minnesota,2007,Illegal detention/arrests,82,21,3
Georgia,2007,Illegal detention/arrests,198,17,36
Kansas,2007,Illegal detention/arrests,84,68,20
Indiana,2007,Illegal detention/arrests,165,29,22
Michigan,2007,Illegal detention/arrests,181,59,14
Missouri,2007,Illegal detention/arrests,39,15,19
Alaska,2007,Illegal detention/arrests,105,67,23
Arkansas,2007,Illegal detention/arrests,80,36,26
Ohio,2007,Illegal detention/arrests,135,8,24
West Virginia,2007,Illegal detention/arrests,66,46,18
Utah,2007,Illegal detention/arrests,14,57,21
North Dakota,2007,Illegal detention/arrests,98,5,18
Louisiana,2007,Illegal detention/arrests,248,67,31
Wisconsin,2007,Illegal detention/arrests,108,59,31
Oklahoma,2007,Illegal detention/arrests,111,0,33
District of Columbia,2007,Illegal detention/arrests,136,53,5
New Mexico,2007,Illegal detention/arrests,169,2,3
Montana,2008,Illegal detention/arrests,203,41,11
Maryland,2008,Illegal detention/arrests,187,21,29
Delaware,2008,Illegal detention/arrests,27,41,31
Florida,2008,Illegal detention/arrests,143,61,2
South Dakota,2008,Illegal detention/arrests,201,53,16
Minnesota,2008,Illegal detention/arrests,224,19,19
Georgia,2008,Illegal detention/arrests,225,39,5
Kansas,2008,Illegal detention/arrests,192,56,13
Indiana,2008,Illegal detention/arrests,207,18,28
Michigan,2008,Illegal detention/arrests,243,69,35
Arkansas,2008,Illegal detention/arrests,244,1,39
Ohio,2008,Illegal detention/arrests,235,52,14
West Virginia,2008,Illegal detention/arrests,3,49,22
Utah,2008,Illegal detention/arrests,33,13,12
North Dakota,2008,Illegal detention/arrests,80,45,23
Louisiana,2008,Illegal detention/arrests,16,48,40
New Mexico,2008,Illegal detention/arrests,237,17,22
Montana,2009,Illegal detention/arrests,150,51,33
Maryland,2009,Illegal detention/arrests,162,37,8
Delaware,2009,Illegal detention/arrests,245,13,38
Florida,2009,Illegal detention/arrests,220,52,34
Colorado,2009,Illegal detention/arrests,174,69,26
South Dakota,2009,Illegal detention/arrests,133,34,17
Minnesota,2009,Illegal detention/arrests,147,58,25
Georgia,2009,Illegal detention/arrests,58,27,8
Kansas,2009,Illegal detention/arrests,46,3,19
Indiana,2009,Illegal detention/arrests,179,46,39
Michigan,2009,Illegal detention/arrests,161,66,1
Arkansas,2009,Illegal detention/arrests,3,38,25
Ohio,2009,Illegal detention/arrests,26,56,1
West Virginia,2009,Illegal detention/arrests,148,26,22
North Dakota,2009,Illegal detention/arrests,41,47,7
Louisiana,2009,Illegal detention/arrests,129,44,39
Wisconsin,2009,Illegal detention/arrests,14,62,1
New Mexico,2009,Illegal detention/arrests,222,59,6
Montana,2010,Illegal detention/arrests,85,20,4
Maryland,2010,Illegal detention/arrests,50,52,20
Florida,2010,Illegal detention/arrests,198,68,3
South Dakota,2010,Illegal detention/arrests,202,34,4
Minnesota,2010,Illegal detention/arrests,106,8,22
Kansas,2010,Illegal detention/arrests,170,6,2
Indiana,2010,Illegal detention/arrests,7,23,20
Michigan,2010,Illegal detention/arrests,127,17,34
Arkansas,2010,Illegal detention/arrests,45,34,20
Ohio,2010,Illegal detention/arrests,79,46,18
West Virginia,2010,Illegal detention/arrests,205,55,40
North Dakota,2010,Illegal detention/arrests,130,14,36
Louisiana,2010,Illegal detention/arrests,44,55,32
District of Columbia,2010,Illegal detention/arrests,35,60,12
New Mexico,2010,Illegal detention/arrests,192,50,29
Montana,2001,Fake Encounter Killings,19,1,26
Maryland,2001,Fake Encounter Killings,31,0,12
Delaware,2001,Fake Encounter Killings,95,17,25
Florida,2001,Fake Encounter Killings,125,45,7
Colorado,2001,Fake Encounter Killings,156,30,8
South Dakota,2001,Fake Encounter Killings,79,21,4
Minnesota,2001,Fake Encounter Killings,217,31,9
Georgia,2001,Fake Encounter Killings,135,24,29
Kansas,2001,Fake Encounter Killings,204,68,34
Indiana,2001,Fake Encounter Killings,8,68,2
South Carolina,2001,Fake Encounter Killings,229,64,24
Michigan,2001,Fake Encounter Killings,73,62,25
Arkansas,2001,Fake Encounter Killings,189,27,27
West Virginia,2001,Fake Encounter Killings,66,38,24
North Dakota,2001,Fake Encounter Killings,43,52,34
Louisiana,2001,Fake Encounter Killings,183,59,25
District of Columbia,2001,Fake Encounter Killings,60,10,29
New Mexico,2001,Fake Encounter Killings,237,11,18
Montana,2002,Fake Encounter Killings,83,67,10
Delaware,2002,Fake Encounter Killings,153,51,1
Florida,2002,Fake Encounter Killings,137,6,8
Colorado,2002,Fake Encounter Killings,197,51,39
South Dakota,2002,Fake Encounter Killings,50,55,35
Hawaii,2002,Fake Encounter Killings,31,27,30
Minnesota,2002,Fake Encounter Killings,62,35,4
Georgia,2002,Fake Encounter Killings,79,38,6
Kansas,2002,Fake Encounter Killings,157,26,35
Indiana,2002,Fake Encounter Killings,35,66,23
Michigan,2002,Fake Encounter Killings,99,26,5
Alaska,2002,Fake Encounter Killings,240,44,19
Arkansas,2002,Fake Encounter Killings,232,13,38
West Virginia,2002,Fake Encounter Killings,112,12,38
North Dakota,2002,Fake Encounter Killings,81,5,8
Louisiana,2002,Fake Encounter Killings,54,7,25
Oregon,2002,Fake Encounter Killings,237,13,19
District of Columbia,2002,Fake Encounter Killings,116,4,39
New Mexico,2002,Fake Encounter Killings,123,10,38
Montana,2003,Fake Encounter Killings,78,67,33
Maryland,2003,Fake Encounter Killings,184,57,12
Delaware,2003,Fake Encounter Killings,117,1,11
Florida,2003,Fake Encounter Killings,37,68,19
Colorado,2003,Fake Encounter Killings,103,61,20
South Dakota,2003,Fake Encounter Killings,84,65,37
Hawaii,2003,Fake Encounter Killings,245,56,34
Minnesota,2003,Fake Encounter Killings,28,56,1
Georgia,2003,Fake Encounter Killings,158,60,12
Kansas,2003,Fake Encounter Killings,48,17,34
Indiana,2003,Fake Encounter Killings,128,48,8
Michigan,2003,Fake Encounter Killings,8,6,13
Arkansas,2003,Fake Encounter Killings,70,22,30
West Virginia,2003,Fake Encounter Killings,215,59,5
North Dakota,2003,Fake Encounter Killings,147,46,18
Louisiana,2003,Fake Encounter Killings,202,30,40
Oregon,2003,Fake Encounter Killings,34,54,17
New Mexico,2003,Fake Encounter Killings,212,63,27
Montana,2004,Fake Encounter Killings,224,62,23
Maryland,2004,Fake Encounter Killings,104,28,3
Florida,2004,Fake Encounter Killings,133,36,2
South Dakota,2004,Fake Encounter Killings,9,66,23
Minnesota,2004,Fake Encounter Killings,169,8,14
Kansas,2004,Fake Encounter Killings,221,13,35
Michigan,2004,Fake Encounter Killings,23,17,34
Alaska,2004,Fake Encounter Killings,84,41,17
Arkansas,2004,Fake Encounter Killings,16,58,29
Ohio,2004,Fake Encounter Killings,166,32,26
West Virginia,2004,Fake Encounter Killings,240,20,23
Utah,2004,Fake Encounter Killings,172,9,12
North Dakota,2004,Fake Encounter Killings,73,65,39
Louisiana,2004,Fake Encounter Killings,90,44,4
Oregon,2004,Fake Encounter Killings,143,48,16
Wisconsin,2004,Fake Encounter Killings,188,35,12
New Mexico,2004,Fake Encounter Killings,82,56,5
Montana,2005,Fake Encounter Killings,103,67,20
Maryland,2005,Fake Encounter Killings,29,0,32
Delaware,2005,Fake Encounter Killings,2,64,27
Colorado,2005,Fake Encounter Killings,232,12,19
South Dakota,2005,Fake Encounter Killings,213,25,27
Minnesota,2005,Fake Encounter Killings,231,36,31
Georgia,2005,Fake Encounter Killings,123,69,32
Kansas,2005,Fake Encounter Killings,234,27,40
Indiana,2005,Fake Encounter Killings,37,51,14
South Carolina,2005,Fake Encounter Killings,209,32,4
Michigan,2005,Fake Encounter Killings,217,48,15
Alaska,2005,Fake Encounter Killings,80,70,10
Arkansas,2005,Fake Encounter Killings,204,30,36
Ohio,2005,Fake Encounter Killings,132,10,26
West Virginia,2005,Fake Encounter Killings,32,66,27
Utah,2005,Fake Encounter Killings,168,12,11
North Dakota,2005,Fake Encounter Killings,223,61,33
Louisiana,2005,Fake Encounter Killings,96,1,3
Oregon,2005,Fake Encounter Killings,58,26,36
District of Columbia,2005,Fake Encounter Killings,125,23,11
New Mexico,2005,Fake Encounter Killings,228,56,0
Montana,2006,Fake Encounter Killings,43,64,13
Maryland,2006,Fake Encounter Killings,133,3,15
Delaware,2006,Fake Encounter Killings,112,23,20
Colorado,2006,Fake Encounter Killings,78,52,1
South Dakota,2006,Fake Encounter Killings,4,59,6
New York,2006,Fake Encounter Killings,200,38,40
Minnesota,2006,Fake Encounter Killings,67,56,4
Kansas,2006,Fake Encounter Killings,58,49,33
Indiana,2006,Fake Encounter Killings,221,5,23
South Carolina,2006,Fake Encounter Killings,113,50,17
Michigan,2006,Fake Encounter Killings,58,24,37
Alaska,2006,Fake Encounter Killings,150,55,2
Ohio,2006,Fake Encounter Killings,184,57,3
West Virginia,2006,Fake Encounter Killings,153,67,39
Utah,2006,Fake Encounter Killings,192,42,8
North Dakota,2006,Fake Encounter Killings,229,39,12
Louisiana,2006,Fake Encounter Killings,113,56,31
Wisconsin,2006,Fake Encounter Killings,221,61,31
District of Columbia,2006,Fake Encounter Killings,60,45,35
New Mexico,2006,Fake Encounter Killings,219,29,26
Montana,2007,Fake Encounter Killings,12,53,16
Maryland,2007,Fake Encounter Killings,1,44,8
Delaware,2007,Fake Encounter Killings,87,20,4
Florida,2007,Fake Encounter Killings,117,22,33
South Dakota,2007,Fake Encounter Killings,229,35,20
Minnesota,2007,Fake Encounter Killings,62,63,24
Georgia,2007,Fake Encounter Killings,194,25,39
Kansas,2007,Fake Encounter Killings,159,1,19
Indiana,2007,Fake Encounter Killings,184,7,3
Michigan,2007,Fake Encounter Killings,240,46,31
Missouri,2007,Fake Encounter Killings,102,63,6
Alaska,2007,Fake Encounter Killings,245,54,33
Arkansas,2007,Fake Encounter Killings,153,33,29
Ohio,2007,Fake Encounter Killings,226,26,11
West Virginia,2007,Fake Encounter Killings,75,15,26
Utah,2007,Fake Encounter Killings,137,38,36
North Dakota,2007,Fake Encounter Killings,87,14,21
Louisiana,2007,Fake Encounter Killings,198,61,33
Wisconsin,2007,Fake Encounter Killings,64,70,38
Oklahoma,2007,Fake Encounter Killings,69,18,30
District of Columbia,2007,Fake Encounter Killings,111,30,25
New Mexico,2007,Fake Encounter Killings,1,41,18
Montana,2008,Fake Encounter Killings,167,62,37
Maryland,2008,Fake Encounter Killings,201,36,20
Delaware,2008,Fake Encounter Killings,27,25,8
Florida,2008,Fake Encounter Killings,147,34,3
South Dakota,2008,Fake Encounter Killings,83,59,27
Minnesota,2008,Fake Encounter Killings,30,23,3
Georgia,2008,Fake Encounter Killings,21,34,33
Kansas,2008,Fake Encounter Killings,222,42,13
Indiana,2008,Fake Encounter Killings,59,59,8
Michigan,2008,Fake Encounter Killings,175,34,22
Arkansas,2008,Fake Encounter Killings,195,2,34
Ohio,2008,Fake Encounter Killings,144,0,5
West Virginia,2008,Fake Encounter Killings,123,66,7
Utah,2008,Fake Encounter Killings,24,9,28
North Dakota,2008,Fake Encounter Killings,79,27,31
Louisiana,2008,Fake Encounter Killings,152,44,12
New Mexico,2008,Fake Encounter Killings,151,62,26
Montana,2009,Fake Encounter Killings,68,28,13
Maryland,2009,Fake Encounter Killings,182,18,24
Delaware,2009,Fake Encounter Killings,202,24,35
Florida,2009,Fake Encounter Killings,108,68,35
Colorado,2009,Fake Encounter Killings,150,62,36
South Dakota,2009,Fake Encounter Killings,241,57,9
Minnesota,2009,Fake Encounter Killings,129,69,25
Georgia,2009,Fake Encounter Killings,9,28,12
Kansas,2009,Fake Encounter Killings,122,41,32
Indiana,2009,Fake Encounter Killings,74,21,7
Michigan,2009,Fake Encounter Killings,16,0,40
Arkansas,2009,Fake Encounter Killings,244,24,29
Ohio,2009,Fake Encounter Killings,1,23,6
West Virginia,2009,Fake Encounter Killings,46,49,40
North Dakota,2009,Fake Encounter Killings,246,43,34
Louisiana,2009,Fake Encounter Killings,9,58,39
Wisconsin,2009,Fake Encounter Killings,208,66,24
New Mexico,2009,Fake Encounter Killings,117,61,0
Montana,2010,Fake Encounter Killings,27,31,26
Maryland,2010,Fake Encounter Killings,89,38,7
Delaware,2010,Fake Encounter Killings,92,2,13
Florida,2010,Fake Encounter Killings,45,39,10
South Dakota,2010,Fake Encounter Killings,241,12,5
Minnesota,2010,Fake Encounter Killings,210,57,37
Kansas,2010,Fake Encounter Killings,141,51,30
Indiana,2010,Fake Encounter Killings,51,35,31
Michigan,2010,Fake Encounter Killings,190,70,37
